# 8d31d9c8-78d9-4a38-9434-7289fd795704
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.2845361; -1.7100164; -2.0472512; 0.0012015; 8.5381876; -12.1424421
0.1996966; -4.1072333; -1.8015201; -2.0473091; -0.0017727; 8.2493054; -11.9895936
0.3993932; -3.9296833; -1.8932301; -2.0479295; -0.0040303; 7.9537713; -11.9151630
0.5990897; -3.7523004; -1.9850322; -2.0488622; -0.0053159; 7.6487674; -11.9150965
0.7987863; -3.5748988; -2.0770667; -2.0497864; -0.0033105; 7.3310869; -12.0298481
0.9984829; -3.3977155; -2.1691351; -2.0500881; 0.0031929; 6.9957270; -11.1380776
1.1981795; -3.2203528; -2.2610916; -2.0474585; 0.0232385; 6.6702117; -10.3842400
1.3978760; -3.0424741; -2.3522673; -2.0407564; 0.0439151; 6.3517186; -9.7404698
1.5975726; -2.8642633; -2.4416462; -2.0298660; 0.0658488; 6.0377191; -9.0373294
1.7972692; -2.6842441; -2.5289512; -2.0138981; 0.0940685; 5.7310213; -7.8892564
1.9969658; -2.5028560; -2.6127019; -1.9911965; 0.1423041; 5.4491917; -6.3637998
2.1966624; -2.3197434; -2.6909807; -1.9560575; 0.2114451; 5.2107611; -5.1443534
2.3963589; -2.1324244; -2.7619035; -1.9072306; 0.2770273; 5.0097318; -4.1816104
2.5960555; -1.9420483; -2.8221586; -1.8454041; 0.3375956; 4.8401762; -3.4246391
2.7957521; -1.7486780; -2.8693187; -1.7727797; 0.3926031; 4.6967572; -2.9969751
2.9954487; -1.5510511; -2.9014754; -1.6899852; 0.4354057; 4.5675548; -2.6065962
3.1951452; -1.3518591; -2.9162776; -1.5985651; 0.4777656; 4.4521343; -2.1962503
3.3948418; -1.1526931; -2.9120430; -1.4990423; 0.5213689; 4.3525088; -1.6323170
3.5945384; -0.9545784; -2.8870754; -1.3901790; 0.5706414; 4.2769611; -0.3242583
3.7942350; -0.7604814; -2.8395901; -1.2689431; 0.6467008; 4.2617942; -0.0701065
3.9939316; -0.5738523; -2.7674347; -1.1342307; 0.6617079; 4.2585080; -0.0701065
4.1936281; -0.3990456; -2.6715569; -1.0044539; 0.6251043; 4.2552191; 0.6113062
4.3933247; -0.2367013; -2.5556244; -0.9061532; 0.3444557; 4.2838116; 5.2290579
4.5930213; -0.0833277; -2.4301737; -0.8793945; -0.1009636; 4.5210056; 5.2209843
4.7927179; 0.0670817; -2.3080540; -0.8860659; 0.1684628; 4.7460212; 5.2129232
4.9924144; 0.2193414; -2.1772586; -0.8312726; 0.3227865; 4.9605164; 3.9621577
5.1921110; 0.3650601; -2.0345715; -0.7577555; 0.4051623; 5.1175366; 1.2878875
5.3918076; 0.4968852; -1.8836025; -0.6795764; 0.3681766; 5.1675482; 2.0651449
5.5915042; 0.6174086; -1.7226833; -0.6061489; 0.3574079; 5.2467475; 2.0547254
5.7912008; 0.7261403; -1.5539589; -0.5409719; 0.2911521; 5.3243782; 3.6365366
5.9908973; 0.8243705; -1.3800560; -0.4896384; 0.2224555; 5.4590668; 5.1847927
6.1905939; 0.9140064; -1.2037498; -0.4540131; 0.1332191; 5.6455453; 5.1767875
6.3902905; 1.0000400; -1.0222452; -0.4332211; 0.0732383; 5.8257836; 5.1687946
6.5899871; 1.0827692; -0.8409177; -0.4247274; 0.0167896; 6.0003447; 5.1608140
6.7896837; 1.1646962; -0.6597430; -0.4262929; -0.0315517; 6.1697107; 5.1528458
6.9893802; 1.2480062; -0.4780225; -0.4338356; -0.0438237; 6.3342988; 5.1448899
7.1890768; 1.3325531; -0.2977224; -0.4432083; -0.0471854; 6.4944727; 5.1369462
7.3887734; 1.4188311; -0.1181115; -0.4522150; -0.0389195; 6.6505516; 5.1290148
7.5884700; 1.5065709; 0.0611291; -0.4573597; -0.0130271; 6.8028178; 5.1210957
7.7881665; 1.5943083; 0.2388803; -0.4600426; -0.0204463; 6.9515221; 5.1131888
7.9878631; 1.6839546; 0.4186679; -0.4653568; -0.0276433; 7.0968890; 5.1052941
8.1875597; 1.7739411; 0.5967873; -0.4699525; -0.0187881; 7.2391196; 5.0974116
8.3872563; 1.8646462; 0.7746892; -0.4726232; -0.0063513; 7.3783957; 5.0895413
8.5869529; 1.9561313; 0.9535531; -0.4724946; 0.0073961; 7.5148820; 0.1873263
8.7866494; 2.0464738; 1.1308935; -0.4692331; 0.0253248; 7.5198583; -9.9576826
8.9863460; 2.1364930; 1.3098297; -0.4624012; 0.0427144; 7.2506026; -9.2706382
9.1860426; 2.2247221; 1.4889999; -0.4521829; 0.0597169; 6.9906086; -8.7871207
9.3857392; 2.3109773; 1.6695647; -0.4386128; 0.0746979; 6.7349160; -8.4421665
9.5854357; 2.3943070; 1.8509200; -0.4223501; 0.0886017; 6.4797646; -8.0087368
9.7851323; 2.4747479; 2.0345358; -0.4028531; 0.1067634; 6.2280587; -7.4325550
9.9848289; 2.5506952; 2.2184957; -0.3794598; 0.1313761; 5.9849982; -5.8061547
10.1845255; 2.6222482; 2.4060659; -0.3474898; 0.1887498; 5.7880277; -4.3796568
10.3842221; 2.6863604; 2.5953778; -0.3037191; 0.2438611; 5.6348966; -3.0917330
10.5839186; 2.7408963; 2.7865534; -0.2503336; 0.2957751; 5.5242414; -2.7112612
10.7836152; 2.7847618; 2.9832188; -0.1879323; 0.3194403; 5.4253464; -2.6815490
10.9833118; 2.8156103; 3.1803512; -0.1219817; 0.3324038; 5.3257292; -2.5833437
11.1830084; 2.8332700; 3.3769953; -0.0575245; 0.3210161; 5.2279653; -2.9632138
11.3827049; 2.8388014; 3.5785863; -0.0001357; 0.2381907; 5.1135246; -5.6761395
11.5824015; 2.8346346; 3.7776432; 0.0404568; 0.1806613; 4.8868316; -5.8550002
