# 27a3dffd-fb16-417b-9e1b-363d91969415
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.3083081; -1.7540038; -2.0455572; 0.0010836; 8.3479539; -11.9885374
0.1994208; -4.1311278; -1.8450833; -2.0458537; -0.0040424; 8.0564760; -11.7175194
0.3988416; -3.9537170; -1.9364612; -2.0471435; -0.0085556; 7.7610161; -11.5309073
0.5982624; -3.7765448; -2.0280973; -2.0492221; -0.0122975; 7.4588448; -11.5305371
0.7976833; -3.5995099; -2.1201886; -2.0516372; -0.0109074; 7.1439140; -11.6395097
0.9971041; -3.4228016; -2.2125972; -2.0534428; -0.0030351; 6.8112544; -11.1037659
1.1965249; -3.2460246; -2.3050826; -2.0512417; 0.0252228; 6.4780045; -9.8948838
1.3959457; -3.0687045; -2.3967009; -2.0430161; 0.0592373; 6.1658779; -8.7349654
1.5953665; -2.8907505; -2.4859925; -2.0274174; 0.0984108; 5.8765792; -7.1605650
1.7947873; -2.7103694; -2.5719900; -2.0019944; 0.1566342; 5.6283436; -5.8348846
1.9942081; -2.5277169; -2.6521561; -1.9648600; 0.2139133; 5.4176616; -4.6697621
2.1936289; -2.3422844; -2.7242796; -1.9167396; 0.2705309; 5.2429535; -3.9405917
2.3930498; -2.1523241; -2.7866819; -1.8581973; 0.3148371; 5.0908633; -3.3628054
2.5924706; -1.9594002; -2.8368702; -1.7910406; 0.3553190; 4.9573846; -2.9319809
2.7918914; -1.7638813; -2.8732087; -1.7168793; 0.3912843; 4.8380023; -2.7274711
2.9913122; -1.5649936; -2.8943743; -1.6358417; 0.4193308; 4.7242394; -2.5041419
3.1907330; -1.3655956; -2.8987947; -1.5490873; 0.4492692; 4.6173241; -2.2113821
3.3901538; -1.1673062; -2.8854064; -1.4565490; 0.4828152; 4.5208064; -1.7826564
3.5895746; -0.9701817; -2.8528448; -1.3563361; 0.5218109; 4.4414742; -0.5931213
3.7889954; -0.7776900; -2.7998963; -1.2460933; 0.5891302; 4.4147629; -0.0752296
3.9884163; -0.5926049; -2.7246525; -1.1220424; 0.6166455; 4.4113633; -0.0752296
4.1878371; -0.4191490; -2.6278395; -1.0016817; 0.5901308; 4.4079612; 0.4585733
4.3872579; -0.2565983; -2.5121444; -0.9135428; 0.2638913; 4.4286589; 5.2241793
4.5866787; -0.1013268; -2.3898041; -0.9107726; -0.2443532; 4.6579652; 5.2161244
4.7860995; 0.0531077; -2.2738771; -0.9253026; 0.1813513; 4.8761714; 5.2080819
4.9855203; 0.2094507; -2.1496227; -0.8692359; 0.3193846; 5.0847072; 3.6426035
5.1849411; 0.3620768; -2.0112016; -0.7965257; 0.3944041; 5.2256167; 1.1244144
5.3843620; 0.4989885; -1.8669803; -0.7238428; 0.3476125; 5.2683520; 2.2445326
5.5837828; 0.6269010; -1.7116378; -0.6538130; 0.3407834; 5.3526391; 2.1255411
5.7832036; 0.7433741; -1.5489733; -0.5906890; 0.2900361; 5.4312522; 3.3303346
5.9826244; 0.8500385; -1.3801244; -0.5378311; 0.2381178; 5.5521866; 4.5404249
6.1820452; 0.9474102; -1.2086843; -0.4976162; 0.1656701; 5.7129403; 5.1738282
6.3814660; 1.0405755; -1.0307545; -0.4685516; 0.1220812; 5.8907745; 5.1658509
6.5808868; 1.1286051; -0.8521796; -0.4488794; 0.0786984; 6.0631329; 5.1578859
6.7803076; 1.2135493; -0.6728714; -0.4373513; 0.0365789; 6.2304703; 5.1499332
6.9797285; 1.2977141; -0.4918002; -0.4343033; -0.0066882; 6.3931814; 5.1419927
7.1791493; 1.3817603; -0.3115889; -0.4397881; -0.0467470; 6.5516112; 5.1340645
7.3785701; 1.4674538; -0.1321733; -0.4522244; -0.0667436; 6.7060635; 5.1261485
7.5779909; 1.5556710; 0.0467566; -0.4630449; -0.0416467; 6.8568075; 5.1182447
7.7774117; 1.6446996; 0.2233626; -0.4709317; -0.0423094; 7.0040830; 5.1103531
7.9768325; 1.7364301; 0.4015962; -0.4796450; -0.0390072; 7.1481046; 5.1024737
8.1762533; 1.8291240; 0.5783889; -0.4855673; -0.0210313; 7.2890657; 5.0946065
8.3756741; 1.9223474; 0.7544213; -0.4877388; 0.0008664; 7.4271407; 4.1133411
8.5750950; 2.0162452; 0.9317896; -0.4852850; 0.0234563; 7.5367759; -9.5622578
8.7745158; 2.1083699; 1.1078549; -0.4779760; 0.0498704; 7.2793657; -8.4643298
8.9739366; 2.1993263; 1.2859745; -0.4654375; 0.0751305; 7.0436665; -7.5400834
9.1733574; 2.2873594; 1.4649433; -0.4480296; 0.0995600; 6.8268542; -6.8662246
9.3727782; 2.3719675; 1.6459325; -0.4258547; 0.1208952; 6.6232471; -6.3127520
9.5721990; 2.4519990; 1.8284955; -0.3997572; 0.1414064; 6.4303666; -5.8630198
9.7716198; 2.5271426; 2.0139649; -0.3694811; 0.1611791; 6.2458945; -5.2895507
9.9710407; 2.5958730; 2.2006784; -0.3351585; 0.1857134; 6.0746609; -4.1837468
10.1704615; 2.6579849; 2.3911042; -0.2940943; 0.2257114; 5.9357268; -3.2085600
10.3698823; 2.7112682; 2.5835739; -0.2448018; 0.2627944; 5.8269327; -2.3345534
10.5693031; 2.7541635; 2.7774915; -0.1894797; 0.2965628; 5.7464796; -2.1955998
10.7687239; 2.7860360; 2.9763129; -0.1281487; 0.3088586; 5.6697735; -2.1828351
10.9681447; 2.8053033; 3.1744920; -0.0653864; 0.3144015; 5.5924705; -2.1776645
11.1675655; 2.8121961; 3.3719906; -0.0049384; 0.2976564; 5.5142708; -2.6717807
11.3669863; 2.8076109; 3.5734816; 0.0473303; 0.2069318; 5.4167855; -5.7714880
11.5664072; 2.7948789; 3.7717183; 0.0780760; 0.1108149; 5.1999669; -7.1812265
11.7658280; 2.7776597; 3.9679125; 0.1005698; 0.2031906; 4.9168571; -2.5100015
11.9652488; 2.7524974; 4.1641437; 0.1614174; 0.4133695; 4.8139787; -0.0894504
12.1646696; 2.7113475; 4.3590631; 0.2583137; 0.5186114; 4.8102717; -0.0894504
12.3640904; 2.6501302; 4.5498018; 0.3629368; 0.5189508; 4.8065619; -0.0786516
12.5635112; 2.5698106; 4.7326140; 0.4643716; 0.4999478; 4.8032976; 0.3761791
12.7629320; 2.4723634; 4.9054656; 0.5616532; 0.4814355; 4.8188903; 0.7304768
12.9623528; 2.3580225; 5.0692638; 0.6566291; 0.4642956; 4.8490255; 0.9920985
13.1617737; 2.2284747; 5.2222884; 0.7478202; 0.4462407; 4.8896563; 1.2385211
13.3611945; 2.0873243; 5.3619348; 0.8324031; 0.4074130; 4.9399102; 1.9636799
13.5606153; 1.9346387; 5.4902680; 0.9096735; 0.3597402; 5.0185565; 2.8422516
13.7600361; 1.7725172; 5.6077396; 0.9759824; 0.3040620; 5.1302552; 3.8954891
13.9594569; 1.6049157; 5.7145345; 1.0283003; 0.2236425; 5.2795077; 5.1922469
14.1588777; 1.4318945; 5.8142175; 1.0653659; 0.1463543; 5.4721189; 5.1842412
14.3582985; 1.2560698; 5.9087765; 1.0867951; 0.0690876; 5.6578951; 5.1762478
14.5577194; 1.0790777; 6.0006007; 1.0968305; 0.0395420; 5.8374892; 5.1682668
14.7571402; 0.9011353; 6.0911374; 1.1028588; 0.0235684; 6.0114557; 5.1602981
14.9565610; 0.7228949; 6.1807158; 1.1072163; 0.0201576; 6.1802703; 5.1523416
15.1559818; 0.5442319; 6.2696172; 1.1107032; 0.0133958; 6.3443447; 5.1443975
15.3554026; 0.3656615; 6.3578814; 1.1124572; 0.0041798; 6.5040379; 5.1364656
15.5548234; 0.1866392; 6.4461512; 1.1128032; -0.0007154; 6.6596656; 5.1285459
15.7542442; 0.0078399; 6.5343404; 1.1122537; -0.0035107; 6.8115067; 5.1206384
15.9536650; -0.1709028; 6.6226488; 1.1115956; -0.0030910; 6.9598094; 5.1127431
16.1530859; -0.3497286; 6.7111375; 1.1109851; -0.0031122; 7.1047957; 5.1048600
16.3525067; -0.5283249; 6.7996508; 1.1103533; -0.0031995; 7.2466649; 5.0969891
16.5519275; -0.7069764; 6.8883328; 1.1097185; -0.0031652; 7.3855971; 5.0891302
16.7513483; -0.8855806; 6.9771320; 1.1090892; -0.0031536; 7.5217552; 5.0812835
16.9507691; -1.0639843; 7.0659715; 1.1084607; -0.0031520; 7.6552876; 5.0734489
17.1501899; -1.2425253; 7.1550194; 1.1078335; -0.0031349; 7.7863297; 5.0656264
17.3496107; -1.4209257; 7.2441365; 1.1072101; -0.0031161; 7.9150056; 5.0578160
