# 918b8ae1-7a82-41cb-b09d-b4023520331c
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.2369921; -1.6220416; -2.0491605; 0.0024119; 9.0838111; -13.2992597
0.1997674; -4.0597300; -1.7138977; -2.0485980; 0.0032241; 8.7864729; -13.0858005
0.3995349; -3.8821762; -1.8057587; -2.0478337; 0.0049674; 8.4837417; -12.8008144
0.5993023; -3.7046501; -1.8973785; -2.0465320; 0.0080759; 8.1767659; -12.5988669
0.7990697; -3.5268006; -1.9888062; -2.0446730; 0.0103671; 7.8629393; -12.4496383
0.9988372; -3.3489876; -2.0797496; -2.0423945; 0.0121445; 7.5400099; -12.3863306
1.1986046; -3.1708347; -2.1703281; -2.0399223; 0.0126102; 7.2043722; -12.3863678
1.3983720; -2.9923389; -2.2605202; -2.0374514; 0.0115585; 6.8523130; -12.3988817
1.5981395; -2.8141543; -2.3500400; -2.0353272; 0.0105216; 6.4807721; -12.0983130
1.7979069; -2.6351508; -2.4394533; -2.0325398; 0.0174083; 6.0964505; -11.1328356
1.9976743; -2.4560239; -2.5280966; -2.0271011; 0.0465571; 5.7200309; -9.8427105
2.1974418; -2.2765748; -2.6148023; -2.0130948; 0.0949951; 5.3652817; -8.5560561
2.3972092; -2.0946864; -2.6983955; -1.9880617; 0.1558139; 5.0366461; -7.0748647
2.5969767; -1.9105450; -2.7761131; -1.9494885; 0.2385488; 4.7477520; -5.5029238
2.7967441; -1.7234283; -2.8447473; -1.8918255; 0.3394372; 4.5102704; -4.3075616
2.9965115; -1.5314475; -2.9007922; -1.8147141; 0.4331475; 4.3152657; -3.3901034
3.1962790; -1.3355300; -2.9400072; -1.7191936; 0.5186850; 4.1553645; -2.6210057
3.3960464; -1.1370072; -2.9587067; -1.6075417; 0.5982945; 4.0273900; -1.7712362
3.5958138; -0.9375869; -2.9536131; -1.4802728; 0.6794547; 3.9385530; -0.3086010
3.7955813; -0.7406645; -2.9214954; -1.3345701; 0.7797827; 3.9228692; -0.3086010
3.9953487; -0.5508356; -2.8593499; -1.1742936; 0.7832392; 3.9071225; -0.2627490
4.1951161; -0.3729545; -2.7681487; -1.0205211; 0.7376380; 3.8936652; 0.5129201
4.3948836; -0.2096982; -2.6524753; -0.8956719; 0.5135927; 3.9198926; 3.8002281
4.5946510; -0.0601157; -2.5219141; -0.8213246; 0.1968262; 4.1090001; 4.9614195
4.7944184; 0.0816033; -2.3873514; -0.8011038; 0.1806524; 4.3435172; 4.9216683
4.9941859; 0.2230192; -2.2431868; -0.7451968; 0.3362518; 4.5642656; 4.5772638
5.1939533; 0.3525906; -2.0922842; -0.6712529; 0.4127594; 4.7603883; 2.1918987
5.3937207; 0.4713890; -1.9285149; -0.5848285; 0.3975081; 4.8514984; 2.1718383
5.5934882; 0.5755113; -1.7574961; -0.5103606; 0.3551440; 4.9401176; 2.8433943
5.7932556; 0.6682320; -1.5783457; -0.4483872; 0.2531041; 5.0537904; 4.7878182
5.9930230; 0.7506710; -1.3971333; -0.4090461; 0.1499297; 5.2396276; 4.7494579
6.1927905; 0.8277204; -1.2133576; -0.3880353; 0.0570572; 5.4176814; 4.7114050
6.3925579; 0.9028736; -1.0279188; -0.3841451; -0.0107817; 5.5887066; 4.6736569
6.5923253; 0.9780598; -0.8435730; -0.3922878; -0.0662210; 5.7533408; 4.6362113
6.7920928; 1.0557710; -0.6598733; -0.4094372; -0.1057713; 5.9121281; 4.5990657
6.9918602; 1.1371518; -0.4775186; -0.4291090; -0.0827387; 6.0655376; 4.5622177
7.1916277; 1.2213398; -0.2969020; -0.4418839; -0.0415928; 6.2139771; 4.5256649
7.3913951; 1.3073469; -0.1162713; -0.4452466; 0.0071216; 6.3578040; 4.4894050
7.5911625; 1.3925333; 0.0629303; -0.4414919; 0.0299048; 6.4973337; 4.4534356
7.7909300; 1.4770204; 0.2432449; -0.4352507; 0.0197551; 6.6328462; 4.4177544
7.9906974; 1.5619333; 0.4263143; -0.4343191; -0.0093791; 6.7645913; 4.3823590
8.1904648; 1.6455112; 0.6059234; -0.4370158; -0.0176573; 6.8927934; 4.3472473
8.3902323; 1.7307895; 0.7875197; -0.4412582; -0.0233829; 7.0176547; 4.3124169
8.5899997; 1.8166145; 0.9680969; -0.4461806; -0.0258949; 7.1393584; 4.2778655
8.7897671; 1.9033522; 1.1482048; -0.4514114; -0.0254893; 7.2580710; 4.2435910
8.9895346; 1.9911604; 1.3281798; -0.4563709; -0.0241347; 7.3739445; 2.6238550
